gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
731502508	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452734750SNAaVKic5qZ6Ngmx										http://creativecommons.org/licenses/by/4.0/	
731502503	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414527346766Tuwup1ioEdELwlo										http://creativecommons.org/licenses/by/4.0/	
731502502	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452734650Ou92us2vPQrYsZ1h										http://creativecommons.org/licenses/by/4.0/	
731502461	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452734482VdMj9D70CiFaZzuR										http://creativecommons.org/licenses/by/4.0/	
731423495	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414527347219pwpN37ie1CVjugw										http://creativecommons.org/licenses/by/4.0/	
731423494	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414527346997mxcQjNBj6TM58OU										http://creativecommons.org/licenses/by/4.0/	
731423492	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452734615jBMDirRiTOYLJy96										http://creativecommons.org/licenses/by/4.0/	
731423339	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414527345422WEjSmj7pkGsy0Ai										http://creativecommons.org/licenses/by/4.0/	
731423338	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14414527345125Psq7hNC7FLAzh9K										http://creativecommons.org/licenses/by/4.0/	
731421778	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452750638oTvhAARmzpwyc4ua										http://creativecommons.org/licenses/by/4.0/	
731421776	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452750599U72mYTbkjwnKd4Kx										http://creativecommons.org/licenses/by/4.0/	
731421774	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452750572mXh1qZNAPS6i4dZ6										http://creativecommons.org/licenses/by/4.0/	
731421772	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441452750549vMZaobFXw4Dr4IMs										http://creativecommons.org/licenses/by/4.0/	
731421624	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441453132548T3nx25PsoL4UhmTk										http://creativecommons.org/licenses/by/4.0/	
730729080	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441450833907JuPYwtmEKkV3p0g1										http://creativecommons.org/licenses/by/4.0/	
730724548	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441451199655ThbUVZ8PppdEtgjZ										http://creativecommons.org/licenses/by/4.0/	
730724547	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441451199692RgR7XWAbSrmB0zZI										http://creativecommons.org/licenses/by/4.0/	
607693874	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441376228790elUsW3ZVVhlclYn2										http://creativecommons.org/licenses/by/4.0/	
607693873	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441376228771ak48EALq4cOoRNFz										http://creativecommons.org/licenses/by/4.0/	
474953324	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841058F0we9TxKIJJRgLcr										http://creativecommons.org/licenses/by/4.0/	
474943704	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909777T5yIkimjhDcipdV9										http://creativecommons.org/licenses/by/4.0/	
474933607	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365953747ed9GbxiC7hBh8oUf										http://creativecommons.org/licenses/by/4.0/	
474933554	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659464423M1i7NU5TYvOacrm										http://creativecommons.org/licenses/by/4.0/	
474897512	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365932284E2B2NDLbhixC2Qnj										http://creativecommons.org/licenses/by/4.0/	
474892723	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908293FbNlYyUB1l2m92D1										http://creativecommons.org/licenses/by/4.0/	
474892722	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659075793K7RINWisWvAHogU										http://creativecommons.org/licenses/by/4.0/	
474887753	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659074556TBgZLbKDH4fDd4I										http://creativecommons.org/licenses/by/4.0/	
474887752	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907416PAgdHepzCSNNiFR6										http://creativecommons.org/licenses/by/4.0/	
474887747	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933780ikYR7vbIAtaJFPAS										http://creativecommons.org/licenses/by/4.0/	
474883132	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909796XaDF4FbY0Oq4wmSE										http://creativecommons.org/licenses/by/4.0/	
474881290	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441363071917y0QXE1FhCE7aAsw7										http://creativecommons.org/licenses/by/4.0/	
474870371	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841573boGpoTTbYTy10WtU										http://creativecommons.org/licenses/by/4.0/	
474852361	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908227gqk4OefZ3Se3xgcc										http://creativecommons.org/licenses/by/4.0/	
474852205	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841094lklygvP5ltrKQYs9										http://creativecommons.org/licenses/by/4.0/	
474852204	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841076t0vGvm17Fdr5AhJD										http://creativecommons.org/licenses/by/4.0/	
474847515	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659073575hrkeOt3kGra4i7X										http://creativecommons.org/licenses/by/4.0/	
474847511	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933799W8RvibxGsLN26e2M										http://creativecommons.org/licenses/by/4.0/	
474842901	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365931657Y4zVVpk290fTPOrc										http://creativecommons.org/licenses/by/4.0/	
474842866	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144136597718118I1mdbPhij30J6K										http://creativecommons.org/licenses/by/4.0/	
474842788	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909891cNjILVaqLRuMqe9F										http://creativecommons.org/licenses/by/4.0/	
474809675	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841112A6HoT0waHalxM7eR										http://creativecommons.org/licenses/by/4.0/	
474809674	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841040ZgoQtXdWOODdOxKn										http://creativecommons.org/licenses/by/4.0/	
474809648	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144136586185931cU21ZSjQjKnmvt										http://creativecommons.org/licenses/by/4.0/	
474804570	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933882FEyJW6BEzhtOsaeY										http://creativecommons.org/licenses/by/4.0/	
474799648	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909870NsC72mM7QU7zf3B6										http://creativecommons.org/licenses/by/4.0/	
474799647	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909758h5KwJOEXRawqTruS										http://creativecommons.org/licenses/by/4.0/	
474790497	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413658411971zowVDsC8IWoGGNL										http://creativecommons.org/licenses/by/4.0/	
474766519	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908312kaxbdk196Sa1UQ3R										http://creativecommons.org/licenses/by/4.0/	
474766518	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907541ZptdHNFQx5b2yXQc										http://creativecommons.org/licenses/by/4.0/	
474761125	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659074368IPf4m3aJ4alK1wm										http://creativecommons.org/licenses/by/4.0/	
474755872	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907338rOYwMqQjbCU05biY										http://creativecommons.org/licenses/by/4.0/	
474755825	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659771403ktFHWMg0OrO7KMF										http://creativecommons.org/licenses/by/4.0/	
474755823	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365977115Nx3Rm64C3eJvl0H1										http://creativecommons.org/licenses/by/4.0/	
474755822	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365977096eXvcYekSPHFt58Ff										http://creativecommons.org/licenses/by/4.0/	
474748797	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441363071784YGmsbOShxPVTZVjU										http://creativecommons.org/licenses/by/4.0/	
474736531	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365885754q6RrgfdYuBicKPqX										http://creativecommons.org/licenses/by/4.0/	
474736530	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365976884Bxsr6d5Y8F6cmlWm										http://creativecommons.org/licenses/by/4.0/	
474722762	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908274xRGs51Uz0tnhNIM8										http://creativecommons.org/licenses/by/4.0/	
474722761	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908255qgUHKyueMLzWpaPK										http://creativecommons.org/licenses/by/4.0/	
474722650	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365922563a1bpJOdbDohhJ4Ao										http://creativecommons.org/licenses/by/4.0/	
474719857	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907376aKJXwsT3uZknn4r4										http://creativecommons.org/licenses/by/4.0/	
474717193	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907395z30SPhmyf117tMkt										http://creativecommons.org/licenses/by/4.0/	
474717185	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933742wn4mfAlD2tnOfNWD										http://creativecommons.org/licenses/by/4.0/	
474712480	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144136593163932dI0Iqhnbcxsg92										http://creativecommons.org/licenses/by/4.0/	
474712370	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659099117f9ajRYAM0sWozZ6										http://creativecommons.org/licenses/by/4.0/	
474712369	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365909815djw5csr4Z7iPWroH										http://creativecommons.org/licenses/by/4.0/	
474706587	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365886580R3Fcc68Np57Qn9gh										http://creativecommons.org/licenses/by/4.0/	
474679150	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841157HjJH8xgWctML1ie8										http://creativecommons.org/licenses/by/4.0/	
474679123	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365861897wMiDrZKySepcA8Xh										http://creativecommons.org/licenses/by/4.0/	
474671675	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659098526eTbMOdFigNazqur										http://creativecommons.org/licenses/by/4.0/	
474668687	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365931675G97ez3T1AmMmxmTF										http://creativecommons.org/licenses/by/4.0/	
474668686	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365931619tLLZXDTC5khpmQDz										http://creativecommons.org/licenses/by/4.0/	
474663321	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365931888gimdPbEfPhD1vLfH										http://creativecommons.org/licenses/by/4.0/	
474663282	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659537294Hh7QSTPLA0XwsOj										http://creativecommons.org/licenses/by/4.0/	
474663176	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365761376b8p6iobUNKAqKowu										http://creativecommons.org/licenses/by/4.0/	
474636077	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365908208uP1Ia50HhuN9cw8h										http://creativecommons.org/licenses/by/4.0/	
474636076	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144136590759832gOEFO7Wl0BtPtf										http://creativecommons.org/licenses/by/4.0/	
474636075	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365907560IkhyL3P6WGbCYrH2										http://creativecommons.org/licenses/by/4.0/	
474635923	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841131Rjg5S0ZAtLN4zF8I										http://creativecommons.org/licenses/by/4.0/	
474635895	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413658618785Y0JBt4h56kwldP3										http://creativecommons.org/licenses/by/4.0/	
474630628	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933864tY6Yrcy2ZP5fIc2j										http://creativecommons.org/licenses/by/4.0/	
474630627	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933845EnN2RKt9rj9TVtMm										http://creativecommons.org/licenses/by/4.0/	
474630626	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933826IVRKB4r44V5CjAxY										http://creativecommons.org/licenses/by/4.0/	
474630625	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365933761jea4CbCneO7CqyfG										http://creativecommons.org/licenses/by/4.0/	
474625885	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365977201EDUYynroiVLHFpGp										http://creativecommons.org/licenses/by/4.0/	
474625884	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365977162t7GiiBw8n0frCByj										http://creativecommons.org/licenses/by/4.0/	
474625809	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413659098330buIaBhFpc0weKli										http://creativecommons.org/licenses/by/4.0/	
474624099	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441362901832bdJlPf7qsoIaXJvu										http://creativecommons.org/licenses/by/4.0/	
474620225	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365922345sJM5JljccCdtH7F0										http://creativecommons.org/licenses/by/4.0/	
474616616	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441365841217advcvBZDz30UjrWD										http://creativecommons.org/licenses/by/4.0/	
465179356	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413613336574VUVnFrSiH2c0jDk										http://creativecommons.org/licenses/by/4.0/	
465149192	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441361774478xu5eD2vsbdrGBrYd										http://creativecommons.org/licenses/by/4.0/	
465049422	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413587463358Dmxl6yTy4FDh7x4										http://creativecommons.org/licenses/by/4.0/	
464995892	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413617742183PPPSfMYKeyNwXXU										http://creativecommons.org/licenses/by/4.0/	
464979653	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441361213840NJImYZSHJgOwFMsW										http://creativecommons.org/licenses/by/4.0/	
464912221	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441361213134A6lblbtBzesnWyye										http://creativecommons.org/licenses/by/4.0/	
464808977	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441361342391KK4t1TsWILRdES52										http://creativecommons.org/licenses/by/4.0/	
464795479	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441360691608HS30LxYMkiw9Voqp										http://creativecommons.org/licenses/by/4.0/	
464734079	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441361342409PMAFeMdvOSCu09xL										http://creativecommons.org/licenses/by/4.0/	
442682779	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354540391uHUBj5JuXwHqxoFo										http://creativecommons.org/licenses/by/4.0/	
442682778	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354540372mvEH5T8ZDrwQsJdA										http://creativecommons.org/licenses/by/4.0/	
442682181	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354378226zXDY219CrnqgGv5f										http://creativecommons.org/licenses/by/4.0/	
442679486	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354629671Px4ZVauSr3A5nZcl										http://creativecommons.org/licenses/by/4.0/	
442679470	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679481uytYl4LLCOfKo0Qc										http://creativecommons.org/licenses/by/4.0/	
442679469	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679440dsvY97HbGNfXf2V4										http://creativecommons.org/licenses/by/4.0/	
442679468	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679396exmtXHpfHMQeSdTJ										http://creativecommons.org/licenses/by/4.0/	
442679467	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413546790415WBaZwu0EjoQxuIP										http://creativecommons.org/licenses/by/4.0/	
442679276	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354398564OaDqV4WBbRnDiz1m										http://creativecommons.org/licenses/by/4.0/	
442679263	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354365727cYpCb9enw6eHEh5M										http://creativecommons.org/licenses/by/4.0/	
442679232	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354385241kv8o2KwCR6YsypLe										http://creativecommons.org/licenses/by/4.0/	
442679221	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354411568puMb94fliwMXQuSd										http://creativecommons.org/licenses/by/4.0/	
442678129	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354504893BcK5i7z5ZBR1UcJX										http://creativecommons.org/licenses/by/4.0/	
442678128	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354504975aCPIOfP3rt69IULU										http://creativecommons.org/licenses/by/4.0/	
442676802	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354619888G0Ob4BFVswZfSnVs										http://creativecommons.org/licenses/by/4.0/	
442676780	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413546140758XCAahdL7RoqSyES										http://creativecommons.org/licenses/by/4.0/	
442675017	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354463063HnDzjZ9ncBTcUFW7										http://creativecommons.org/licenses/by/4.0/	
442675016	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354463142KUDdQ37623hhIPEt										http://creativecommons.org/licenses/by/4.0/	
442665989	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144135436574617vaEU5txVSxzwyW										http://creativecommons.org/licenses/by/4.0/	
442665988	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354398600xobZNcnnFGx7AUVi										http://creativecommons.org/licenses/by/4.0/	
442665712	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679177xh8ApVf3Fh7HjGLv										http://creativecommons.org/licenses/by/4.0/	
442665711	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679080ylVBC5wSUxUMNrPW										http://creativecommons.org/licenses/by/4.0/	
442665495	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354398545o3Hx5KMblqiuxtQi										http://creativecommons.org/licenses/by/4.0/	
442665464	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413544115879LjcDKXh2FDD5S96										http://creativecommons.org/licenses/by/4.0/	
442664639	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679712cJCH6V0cLwYdNzUb										http://creativecommons.org/licenses/by/4.0/	
442664635	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354789607B6nLfV3TkiwFlEHQ										http://creativecommons.org/licenses/by/4.0/	
442664634	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354699684jQjy4qHcgJXn1Cez										http://creativecommons.org/licenses/by/4.0/	
442664388	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354563374aA4LmDJ96kFbMeQ6										http://creativecommons.org/licenses/by/4.0/	
442664385	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354504931ld3qJn4ohz3VrLzP										http://creativecommons.org/licenses/by/4.0/	
442664384	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354505082SLlssNs76Dts5IFI										http://creativecommons.org/licenses/by/4.0/	
442664383	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354697315R4Z57THOE0hW9zmy										http://creativecommons.org/licenses/by/4.0/	
442664361	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354411217Xbk5wlMAQGTWkSbI										http://creativecommons.org/licenses/by/4.0/	
442663027	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354619829GgnZeD8FJMT9IEM6										http://creativecommons.org/licenses/by/4.0/	
442663006	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144135452516993P1A8RmBbEro26H										http://creativecommons.org/licenses/by/4.0/	
442661380	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354539956DKmbvT6cl8AG7HlL										http://creativecommons.org/licenses/by/4.0/	
442661277	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354463122hJtEjyb6KFptiDX0										http://creativecommons.org/licenses/by/4.0/	
442659594	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354612483aHrUCTScSCYhVRsS										http://creativecommons.org/licenses/by/4.0/	
442658965	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354649725o2gEXqq8YzavwuNY										http://creativecommons.org/licenses/by/4.0/	
442658403	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413545400702fiaMtGmQGDB67U7										http://creativecommons.org/licenses/by/4.0/	
442658381	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/144135438432143xYkp6gGG86dA7E										http://creativecommons.org/licenses/by/4.0/	
442656453	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354775190b1axI9mW9SzlaO6J										http://creativecommons.org/licenses/by/4.0/	
442656224	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354679501ip86JHSPwvxToI3b										http://creativecommons.org/licenses/by/4.0/	
442656223	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413546791578NVdxmzHLKcG3FJb										http://creativecommons.org/licenses/by/4.0/	
442656088	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354586472Ep29ZKhPUE5b1Txb										http://creativecommons.org/licenses/by/4.0/	
442655989	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354365764oS5o28g2UTGN7GDv										http://creativecommons.org/licenses/by/4.0/	
442655973	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413545406858IU7LsgBhzurXCpC										http://creativecommons.org/licenses/by/4.0/	
442655965	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354388299YPYkn5dSiATHh21Q										http://creativecommons.org/licenses/by/4.0/	
442655964	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354388280I5kXjDqSMbRLzNap										http://creativecommons.org/licenses/by/4.0/	
442655962	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354387535LxJpwrcYBDnbPZNI										http://creativecommons.org/licenses/by/4.0/	
442654871	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413545050384iQAioMlQakaWNsX										http://creativecommons.org/licenses/by/4.0/	
442654870	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413545882450wefpyvWyfzzJkyq										http://creativecommons.org/licenses/by/4.0/	
442654144	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413544449647yBrBnJSPlRjhyua										http://creativecommons.org/licenses/by/4.0/	
442654133	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354396160gLaUDEfFXYBJzdF8										http://creativecommons.org/licenses/by/4.0/	
442653562	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354444905FuSNx9VjzwVk9IBk										http://creativecommons.org/licenses/by/4.0/	
442653535	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/14413546140974LChJL7jxs8S8lne										http://creativecommons.org/licenses/by/4.0/	
442653534	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354614204m2fnbn6bY50z8QGz										http://creativecommons.org/licenses/by/4.0/	
442651946	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354539917g9GzRUq3gToH1UZ4										http://creativecommons.org/licenses/by/4.0/	
442651854	StillImage	image/jpeg	http://mediaphoto.mnhn.fr/media/1441354463082el9WfsJlNnsDBf2r										http://creativecommons.org/licenses/by/4.0/	
