gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
731502508					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800051	P06800051																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731502503					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800048	P06800048																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731502502					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800047	P06800047																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731502461					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800043	P06800043																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731423495					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800050	P06800050																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731423494					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800049	P06800049																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731423492					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800046	P06800046																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731423339					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800045	P06800045																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731423338					2015-09-05 12:31:09.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800044	P06800044																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731421778					2015-09-05 12:31:25.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800094	P06800094																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731421776					2015-09-05 12:31:25.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800093	P06800093																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731421774					2015-09-05 12:31:25.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800092	P06800092																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731421772					2015-09-05 12:31:25.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800091	P06800091																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
731421624					2015-09-05 12:37:47.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06800052	P06800052																		hb																																																																																																																						Rosa semiglabra Ripart													Rosaceae				Rosa									Ripart					
730729080					2015-09-05 11:59:28.0					http://grbio.org/institution/museum-national-dhistoire-naturelle			MNHN	P			PreservedSpecimen				http://coldb.mnhn.fr/catalognumber/mnhn/p/p06792203	P06792203																		hb																																																																																																																						Rosa lanceolata Tratt.													Rosaceae				Rosa									Tratt.					
